,RS_US,LCPI_US,LGDP_US,UNR_US,BLT_US,UNR,LGDP,LCPI,RS,LZ
1994Q1,3.18,441.717,895.093,6.567,-8.87,10.76666,1414.723403,446.3925004,6.4366999,-16.41302578
1994Q2,3.96,442.284,896.389,6.2,-8.8325,10.8,1415.433888,447.0094859,6.4432998,-19.77224205
1994Q3,4.5,443.206,896.948,6,-5.6375,10.66666,1416.235472,447.7052456,7.0532999,-24.94125615
1994Q4,5.14,443.786,898.113,5.633,-10.8625,10.63333,1417.031688,448.3429241,7.3333001,-26.08006934
1995Q1,5.83,444.518,898.39,5.467,-3.375,10.5,1419.503749,448.9969189,7.7266998,-28.55274439
1995Q2,6,445.332,898.57,5.667,-4.6825,10.4,1420.075391,449.6223693,7.3733001,-32.92090252
1995Q3,5.76,445.835,899.381,5.667,-1.2175,10.4,1420.399158,450.2036966,6.8600001,-31.57515469
1995Q4,5.72,446.379,900.11,5.567,1.1325,10.5,1420.680034,450.7256209,6.4667001,-31.86427207
1996Q1,5.33,447.264,900.813,5.533,5.945,10.56666,1420.733979,451.4558591,5.5999999,-29.44343343
1996Q2,5.25,448.12,902.438,5.5,2.45,10.6,1421.460609,451.9675912,5.1932998,-26.52110888
1996Q3,5.25,448.694,903.273,5.267,1.025,10.6,1421.991978,452.2205012,5.0999999,-27.76779026
1996Q4,5.25,449.559,904.436,5.333,-4.45,10.6,1422.25877,452.6851392,4.5332999,-26.38422944
1997Q1,5.27,450.166,905.206,5.233,-2.1875,10.66666,1422.676024,453.3273567,4.3733001,-19.47844494
1997Q2,5.5,450.396,906.714,5,-4.3625,10.6,1423.900352,453.4209916,4.3867002,-16.44875325
1997Q3,5.5,450.895,907.951,4.867,-5.25,10.5,1424.556941,453.8956235,4.4099998,-11.84967771
1997Q4,5.5,451.432,908.686,4.667,-4.35,10.43333,1425.519672,454.2984628,4.5067,-14.53400773
1998Q1,5.5,451.638,909.787,4.633,-0.875,10.26666,1426.204979,454.5571232,4.1466999,-11.24581018
1998Q2,5.5,451.967,910.446,4.4,-5.475,10.1,1426.641865,454.8343505,4.1100001,-12.44459727
1998Q3,5.49,452.478,911.591,4.533,-1.3,9.933333,1427.189436,455.1108009,3.8966999,-13.76285682
1998Q4,4.91,452.946,913.098,4.433,23.925,9.8,1427.403101,455.1759599,3.47,-18.50659366
1999Q1,4.75,453.311,913.943,4.3,6.975,9.566667,1428.35698,455.4170743,3.0481999,-13.72461011
1999Q2,4.75,454.057,914.768,4.267,5.85,9.333333,1428.97807,455.7681435,2.7585001,-7.252517837
1999Q3,5.11,454.798,915.928,4.233,3.575,9.1,1430.229817,456.2393783,3.1895001,-6.184211011
1999Q4,5.38,455.533,917.69,4.067,4.525,8.833333,1431.40573,456.7121737,3.7337999,-4.958043388
2000Q1,5.7,456.517,917.943,4.033,7.325,8.566667,1432.521255,457.3853498,4.1094999,0.424815031
2000Q2,6.25,457.298,919.501,3.933,15.45,8.333333,1433.512009,457.6137177,4.7227001,6.508593023
2000Q3,6.5,458.208,919.387,4,22.4,8.166667,1433.965075,458.4404871,5.1908998,9.718676386
2000Q4,6.5,458.918,919.905,3.9,24.35,7.966667,1434.668043,459.1905498,5.0939002,13.69699144
2001Q1,5.61,459.87,919.782,4.233,37.425,7.8,1435.449381,459.4735938,4.5479002,8.390654538
2001Q2,4.32,460.569,920.089,4.4,33.225,7.8,1435.519882,460.4924956,4.4422002,13.65133983
2001Q3,3.55,460.851,919.737,4.833,29.6,7.8,1435.596857,460.8478707,4.0627999,11.57234321
2001Q4,2.14,460.775,920.13,5.5,34.95,7.9,1435.679186,461.2453597,3.2897999,10.56558698
2002Q1,1.75,461.094,920.807,5.7,33.85,8,1435.936856,462.0391748,3.6308999,12.25101538
2002Q2,1.75,461.877,921.35,5.833,18.075,8.133333,1436.358803,462.5281589,3.8957,7.608501837
2002Q3,1.75,462.415,921.937,5.733,14.075,8.3,1436.733666,462.9579832,3.4405999,1.112629041
2002Q4,1.44,463.004,921.987,5.867,17.6,8.466666,1436.747371,463.5129879,3.0034001,-0.208206193
